Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 8, 2.4766701482908913E10, 2.244244541839833E21, 9.061539920398962E10, 0.8941019037966451, 0.10589809620335493, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 16, 2.0786832223336754E10, 4.823826270919817E20, 2.320616349375376E10, 0.8964602102677743, 0.10353978973222565, 
 
Manhattan,Entropy, Weighted Entropy
0, 0.04024667136824312, 0.01003349517210301
1, 0.0025480983707051146, 0.0011080660574848261
2, 0.0, 0.0
3, 0.23794876396354858, 0.03631098138083751
4, 0.7128270860179151, 0.015824761309597715
5, 0.9949366648342285, 0.0166353410360283
6, 0.535509095841203, 0.006576051696929972
7, 0.4974218234334595, 0.019409399550373588
Manhattan,Entropy, Weighted Entropy
0, 0.005559644266962895, 0.002013925539264639
1, 0.9916074836077726, 0.00920211744788013
2, 0.8847384662142181, 0.01431506838334605
3, 0.0, 0.0
4, 0.0682234504251553, 0.010889827156863291
5, 0.0, 0.0
6, 0.0039376098713353085, 2.6295358720777195E-4
7, 0.003115309282865322, 2.7053345812402455E-4
8, 0.36384699817692945, 0.007859095160621676
9, 0.4041145357527587, 0.004113885973963083
10, 0.3470924473997481, 0.004803759472012514
11, 0.3984592740952357, 0.004542435724685687
12, 0.5692883491013488, 0.013981721853929126
13, 0.4370167722360664, 0.004265283697024008
14, 0.6362645844771884, 0.008704099515647936
15, 0.1975737083242258, 0.01831508276165573
