Manhattan: WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 2, 5.4681812556978955E11, 8.627159683321548E19, 1.577701850013104E8, 1.0948983010802364, -0.09489830108023653, 
Manhattan: WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 4, 3.5922412375867365E11, 5.8314755997931015E23, 1.623353002792953E12, 1.0717974865959956, -0.07179748659599561, 
Manhattan: WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 5.074697955859037E11, 2.795221411203591E22, 5.5081532645235435E10, 1.0853168950565437, -0.08531689505654366, 
 
Manhattan: Entropy, Weighted Entropy
0, -0.08885782560387756, -0.06326553405349102
1, 0.0, 0.0
Manhattan: Entropy, Weighted Entropy
0, -0.001946239843760039, -6.563543551044229E-4
1, -0.3557885653443869, -0.04364954702440464
2, -0.03124373570479881, -0.0035590896844880024
3, 0.0, 0.0
Manhattan: Entropy, Weighted Entropy
0, 0.0, 0.0
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.0, 0.0
4, -0.003152631388056629, -2.0784364542976447E-4
5, -0.15207098250106268, -0.056670086392266006
